"file_moved","original_repo","original_path","destination_path","timestamp_utc","bucket"
"TRACKERS.backup_20251111_005533.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251111_005533.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251111_005533.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251111_005600.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251111_005600.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251111_005600.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121101.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121101.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121101.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121103.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121103.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121103.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121106.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121106.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121106.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121110.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121110.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121110.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121135.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121135.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121135.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121138.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121138.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121138.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121141.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121141.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121141.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121143.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121143.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121143.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121146.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121146.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121146.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121154.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121154.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121154.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121157.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121157.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121157.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121159.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121159.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121159.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_121202.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_121202.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_121202.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_232054.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_232054.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_232054.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_232059.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_232059.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_232059.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_234110.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_234110.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_234110.csv","2025-11-20T19:26:06Z","deletion"
"TRACKERS.backup_20251112_234116.csv","credentialmate-ai","governance\orchestration\TRACKERS.backup_20251112_234116.csv","deletion\credentialmate-ai\governance\orchestration\TRACKERS.backup_20251112_234116.csv","2025-11-20T19:26:06Z","deletion"
"SESSIONS.csv.backup-migration","credentialmate-ai","governance\orchestration\SESSIONS.csv.backup-migration","deletion\credentialmate-ai\governance\orchestration\SESSIONS.csv.backup-migration","2025-11-20T19:26:06Z","deletion"
"deploy-to-production.sh","credentialmate-infra","_archive\scripts\deploy-to-production.sh","deletion\credentialmate-infra\_archive\scripts\deploy-to-production.sh","2025-11-20T19:26:06Z","deletion"
"accuracy_test_output.txt","credentialmate-app","accuracy_test_output.txt","deletion\credentialmate-app\accuracy_test_output.txt","2025-11-20T19:26:06Z","deletion"
